,0
Unnamed: 0,int64
Date,int64
Round,int64
会場,object
選手登番_1_x,int64
選手登番_2_x,int64
選手登番_3_x,int64
選手登番_4_x,int64
選手登番_5_x,int64
選手登番_6_x,int64
選手名_1_x,object
選手名_2_x,object
選手名_3_x,object
選手名_4_x,object
選手名_5_x,object
選手名_6_x,object
年齢_1,int64
年齢_2,int64
年齢_3,int64
年齢_4,int64
年齢_5,int64
年齢_6,int64
支部_1,object
支部_2,object
支部_3,object
支部_4,object
支部_5,object
支部_6,object
体重_1,int64
体重_2,int64
体重_3,int64
体重_4,int64
体重_5,int64
体重_6,int64
級別_1,object
級別_2,object
級別_3,object
級別_4,object
級別_5,object
級別_6,object
全国勝率_1,float64
全国勝率_2,float64
全国勝率_3,float64
全国勝率_4,float64
全国勝率_5,float64
全国勝率_6,float64
全国2連率_1,float64
全国2連率_2,float64
全国2連率_3,float64
全国2連率_4,float64
全国2連率_5,float64
全国2連率_6,float64
当地勝率_1,float64
当地勝率_2,float64
当地勝率_3,float64
当地勝率_4,float64
当地勝率_5,float64
当地勝率_6,float64
当地2連率_1,float64
当地2連率_2,float64
当地2連率_3,float64
当地2連率_4,float64
当地2連率_5,float64
当地2連率_6,float64
モーター2連率_1,float64
モーター2連率_2,float64
モーター2連率_3,float64
モーター2連率_4,float64
モーター2連率_5,float64
モーター2連率_6,float64
ボート2連率_1,float64
ボート2連率_2,float64
ボート2連率_3,float64
ボート2連率_4,float64
ボート2連率_5,float64
ボート2連率_6,float64
結果_1着,int64
結果_2着,int64
結果_3着,int64
決まり手,object
払戻金,int64
試合タイプ,object
天候,object
風向,object
風速,int64
波高,int64
選手登番_1_y,int64
選手登番_2_y,object
選手登番_3_y,object
選手登番_4_y,object
選手登番_5_y,object
選手登番_6_y,object
選手名_1_y,object
選手名_2_y,object
選手名_3_y,object
選手名_4_y,object
選手名_5_y,object
選手名_6_y,object
展示タイム_1,float64
展示タイム_2,float64
展示タイム_3,float64
展示タイム_4,float64
展示タイム_5,float64
展示タイム_6,float64
スタートタイム_1,float64
スタートタイム_2,float64
スタートタイム_3,float64
スタートタイム_4,float64
スタートタイム_5,float64
スタートタイム_6,float64
進入順位_1,float64
進入順位_2,float64
進入順位_3,float64
進入順位_4,float64
進入順位_5,float64
進入順位_6,float64
