カテゴリー,出現する言葉
大村,['大村']
唐津,['唐津']
芦屋,['芦屋']
下関,['下関']
徳山,['徳山']
丸亀,['丸亀']
鳴門,['鳴門']
津,['津']
常滑,['常滑']
蒲郡,['蒲郡']
浜名湖,['浜名湖']
宮島,['宮島']
児島,['児島']
住之江,['住之江']
三国,['三国']
江戸川,['江戸川']
桐生,['桐生']
福岡,['福岡']
若松,['若松']
琵琶湖,['琵琶湖']
多摩川,['多摩川']
平和島,['平和島']
戸田,['戸田']
尼崎,['尼崎']
　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　cｖｘｘｘｘｘｘｘｘｘ福岡,['\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000cｖｘｘｘｘｘｘｘｘｘ福岡']
